City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,Saint Anthony,US,89.35,Clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
218,Saint Paul,US,89.98,Clear,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
221,Tomatlan,MX,89.04,Clouds,19.9333,-105.25,El Salvial
222,Muli,MV,83.64,Clouds,2.9167,73.5667,Medhufushi Island Resort
224,Sidhi,IN,86.83,Clouds,24.4167,81.8833,Kamdhenu Sweets
232,Bandrele,YT,76.75,Clouds,-12.9067,45.1914,Les Baobabs
235,Hurghada,EG,83.73,Clear,27.2574,33.8129,Sea Star Beau Rivage Hotel
239,Sola,VU,80.46,Clouds,-13.8833,167.55,Leumerus Bungalows
248,Rach Gia,VN,80.4,Clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
254,Pangai,TO,79.59,Rain,-19.8,-174.35,Ha'apai Beach Resort
260,Harrison,US,84.22,Clear,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
262,Bengkulu,ID,75.97,Clouds,-3.8004,102.2655,Grage Hotel Bengkulu
264,Dingle,PH,76.28,Clouds,10.9995,122.6711,SEGAYA PROPERTY
268,Mogadishu,SO,79.86,Clouds,2.0371,45.3438,Hotel Juba
269,Gerash,IR,82.24,Clear,27.6652,54.1371,Sa'adat House Gerash
272,Sinnamary,GF,80.47,Clear,5.3833,-52.95,ALETHEIA Appartement Sinnamary
273,Avera,US,85.55,Clear,33.194,-82.5271,
274,Acapulco,MX,84.29,Clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
275,Auki,SB,79.48,Clouds,-8.7676,160.7034,Auki Motel
276,Acajutla,SV,84.31,Clouds,13.5928,-89.8275,Laureles
277,Kearney,US,85.91,Clear,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
283,Bentiu,SS,83.03,Clouds,9.2333,29.8333,Mandela hôtel
287,Maumere,ID,79.25,Clouds,-8.6199,122.2111,Sylvia Hotel
288,Matara,LK,76.17,Clouds,5.9485,80.5353,Amaloh Boutique Resort
289,Santa,PH,83.01,Clouds,17.486,120.4348,Monte Leah Beach Resort
293,Dhidhdhoo,MV,81.19,Clouds,6.8833,73.1,Dhidhoo beach
294,Platteville,US,75.13,Clear,42.7342,-90.4785,"Country Inn & Suites by Radisson, Platteville, WI"
295,Kimbe,PG,76.06,Clouds,-5.5502,150.1429,Kimbe Bay Hotel
300,Faanui,PF,81.28,Clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
308,Port Blair,IN,81.66,Clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
309,Najran,SA,78.58,Clear,17.4924,44.1277,محمد هادي ال فطيح
313,Teshie,GH,81.16,Clouds,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
320,Mayo,US,80.94,Clear,38.8876,-76.5119,Resorts Resource Group International
322,Itoman,JP,79.57,Mist,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
325,Awbari,LY,83.3,Clear,26.5921,12.7805,فندق أوباري
327,King City,US,78.89,Clouds,36.2127,-121.126,Days Inn by Wyndham King City
329,Wahiawa,US,78.19,Clouds,21.5028,-158.0236,The Inn At Schofield
330,Sabang,ID,82.69,Rain,5.8933,95.3214,Hotel Citra
331,Piacabucu,BR,76.64,Clouds,-10.4056,-36.4344,Piaçabuçu News
333,Kampot,KH,82.45,Clouds,10.6167,104.1833,Two Moons Hotel
337,Eyl,SO,80.29,Clouds,7.9803,49.8164,Amiin Hotel
338,Itarema,BR,77.34,Clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
