City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Hithadhoo,MV,5/27/2022 21:20,-0.6,73.0833,83.26,73,24,12.28
146,Kahului,US,5/27/2022 21:24,20.8947,-156.47,82.85,59,75,14.97
147,Ribeira Grande,PT,5/27/2022 21:20,38.5167,-28.7,64.8,94,75,19.57
148,Vardo,NO,5/27/2022 21:25,70.3705,31.1107,39.18,100,100,25.32
149,Tauramena,CO,5/27/2022 21:25,5.0183,-72.7492,73.13,94,100,2.06
150,Sun Valley,US,5/27/2022 21:25,39.5963,-119.776,76.68,24,0,20.71
151,Nampula,MZ,5/27/2022 21:25,-15.1165,39.2666,66.15,94,40,6.91
152,Santa Cruz,BO,5/27/2022 21:25,-17.8,-63.1667,85.46,58,40,19.57
153,Southampton,GB,5/27/2022 21:25,50.904,-1.4043,59.86,78,10,1.01
154,Waslala,NI,5/27/2022 21:25,13.2333,-85.3833,87.08,55,50,6.6
155,Durban,ZA,5/27/2022 21:25,-29.8579,31.0292,66.02,92,37,1.01
156,Porbandar,IN,5/27/2022 21:25,21.6422,69.6093,82.2,78,77,20.18
157,Cururupu,BR,5/27/2022 21:25,-1.8283,-44.8683,75.69,91,10,2.73
158,Kapaa,US,5/27/2022 21:20,22.0752,-159.319,79.48,71,75,11.5
159,Kula,TR,5/27/2022 21:25,38.5473,28.6498,67.95,54,7,3.69
160,Choma,ZM,5/27/2022 21:25,-16.8065,26.9531,56.95,59,0,2.73
161,Esperance,AU,5/27/2022 21:25,-33.8667,121.9,54.45,64,0,10.94
162,Castro,BR,5/27/2022 21:20,-24.7911,-50.0119,58.89,78,85,4.45
163,Sarangani,PH,5/27/2022 21:23,5.4033,125.4636,81.14,80,100,22.35
164,Ibipeba,BR,5/27/2022 21:25,-11.6408,-42.0111,71.92,54,15,10.16
165,Puerto Baquerizo Moreno,EC,5/27/2022 21:25,-0.9,-89.6,76.19,73,100,13.8
166,Nipawin,CA,5/27/2022 21:25,53.3668,-104.0009,68.04,42,0,17.27
167,Marang,MY,5/27/2022 21:25,5.2056,103.2059,78.71,89,100,5.03
168,Sao Filipe,CV,5/27/2022 21:25,14.8961,-24.4956,72.52,82,16,5.91
169,Liepaja,LV,5/27/2022 21:25,56.5419,21.0367,49.98,87,0,16.11
170,Chokurdakh,RU,5/27/2022 21:25,70.6333,147.9167,30.85,78,100,9.51
171,San Patricio,US,5/27/2022 21:25,28.017,-97.5169,96.08,38,0,12.57
172,Tocache,PE,5/27/2022 21:25,-8.1842,-76.5125,82.54,62,43,2.33
173,Tsaratanana,MG,5/27/2022 21:25,-16.7833,47.65,70.38,75,25,6.4
174,Cabo San Lucas,MX,5/27/2022 21:21,22.8909,-109.9124,94.6,33,0,4.61
175,Ambon,ID,5/27/2022 21:25,-3.6954,128.1814,75.34,94,40,2.3
176,Kidal,ML,5/27/2022 21:25,18.4411,1.4078,98.58,14,96,0.67
177,Porto Novo,BJ,5/27/2022 21:25,6.4965,2.6036,78.48,83,50,5.03
178,Nuevo Progreso,MX,5/27/2022 21:25,23.1667,-97.95,89.55,54,69,16.33
179,Linares,CL,5/27/2022 21:25,-35.85,-71.6,49.62,68,100,3.49
180,Kavieng,PG,5/27/2022 21:25,-2.5744,150.7967,81.14,66,100,3.53
181,Kyabe,TD,5/27/2022 21:25,9.4515,18.9449,87.53,37,2,4.99
182,Ingham,US,5/27/2022 21:26,42.6,-84.3833,67.95,91,100,8.05
183,Ormara,PK,5/27/2022 21:26,25.2088,64.6357,80.92,90,6,15.48
184,Nowy Targ,PL,5/27/2022 21:26,49.4778,20.0323,50.34,95,99,4.09
185,Alyangula,AU,5/27/2022 21:26,-13.8483,136.4192,76.24,74,13,11.52
186,Soloneshnoye,RU,5/27/2022 21:26,51.6544,84.3197,57.99,74,29,4.41
187,Nanortalik,GL,5/27/2022 21:26,60.1432,-45.2371,36.9,88,100,13.53
188,Dongsheng,CN,5/27/2022 21:26,39.8161,109.9776,62.01,24,0,9.6
189,Delmas,HT,5/27/2022 21:26,18.5447,-72.3028,84.92,62,75,0
190,Canyon,US,5/27/2022 21:26,34.9803,-101.9188,94.46,23,0,20.56
191,Meulaboh,ID,5/27/2022 21:26,4.1363,96.1285,75.65,88,90,5.93
192,Oranjemund,NA,5/27/2022 21:26,-28.55,16.4333,54.86,92,0,0.43
193,Bethel,US,5/27/2022 21:24,41.3712,-73.414,76.17,79,75,8.05
194,Sorong,ID,5/27/2022 21:26,-0.8833,131.25,78.35,87,19,4.76
195,Lensk,RU,5/27/2022 21:26,60.7253,114.9278,36.68,65,75,2.75
196,Amahai,ID,5/27/2022 21:26,-3.3333,128.9167,76.95,88,36,2.84
197,Madingou,CG,5/27/2022 21:26,-4.1536,13.55,72.81,91,61,2.28
198,Maple Creek,CA,5/27/2022 21:26,49.9168,-109.4848,61.21,82,100,4.61
199,Tiksi,RU,5/27/2022 21:26,71.6872,128.8694,29.64,90,100,6.15
200,Lompoc,US,5/27/2022 21:26,34.6391,-120.4579,76.69,64,0,15.01
201,Kailua,US,5/27/2022 21:26,21.4022,-157.7394,82.38,54,20,10.36
202,San Jose De Gracia,MX,5/27/2022 21:26,20.6667,-102.5833,90.05,9,7,7.54
203,Barstow,US,5/27/2022 21:26,34.8986,-117.0228,94.19,10,95,18.14
204,Longyearbyen,SJ,5/27/2022 21:26,78.2186,15.6401,44.44,81,0,2.3
205,Luderitz,NA,5/27/2022 21:26,-26.6481,15.1594,55.58,88,2,5.32
206,Chuy,UY,5/27/2022 21:20,-33.6971,-53.4616,57.4,91,100,10.38
